paper,cross,paper_ID,exp_ID,obs_ID,region,duration_first,duration_last,C_type,C_rate,C_calc,C_app,C_total,C_year,plant,plant_category,plant_anper,plant_gfs,seeding_exotic,seeding_native,plot,n_trt,n_cntrl,biomass_mean_trt,biomass_SE_trt,biomass_SD_trt,biomass_mean_cntrl,biomass_SE_cntrl,biomass_SD_cntrl,cover_mean_trt,cover_SE_trt,cover_SD_trt,cover_mean_cntrl,cover_SE_cntrl,cover_SD_cntrl,density_mean_trt,density_SE_trt,density_SD_trt,density_mean_cntrl,density_SE_cntrl,density_SD_cntrl
Alpert_2000,less invaded,1,1,1,"coastal CA, USA",22,22,sawdust,689.7939189,yes,1,689.7939189,first year,native grass (less invaded),native graminoid ,unknown,graminoid,0,0,1,10,10,6,5,,14,5,,,,,,,,,,,,,
Alpert_2000,less invaded,1,1,2,"coastal CA, USA",22,22,sawdust,689.7939189,yes,1,689.7939189,first year,exotic grass (less invaded),exotic graminoid ,unknown,graminoid,0,0,1,10,10,129,26,,279,65,,,,,,,,,,,,,
Alpert_2000,less invaded,1,1,3,"coastal CA, USA",22,22,sawdust,689.7939189,yes,1,689.7939189,first year,native forb (less invaded),native forb ,unknown,forb,0,0,1,10,10,22,5,,26,7,,,,,,,,,,,,,
Alpert_2000,less invaded,1,1,4,"coastal CA, USA",22,22,sawdust,689.7939189,yes,1,689.7939189,first year,exotic forb (less invaded),exotic forb ,unknown,forb,0,0,1,10,10,82,27,,59,8,,,,,,,,,,,,,
Alpert_2000,more invaded,1,2,5,"coastal CA, USA",22,22,sawdust,689.7939189,yes,1,689.7939189,first year,native grass (more invaded),native graminoid ,unknown,graminoid,0,0,1,10,10,1,1,,18,18,,,,,,,,,,,,,
Alpert_2000,more invaded,1,2,6,"coastal CA, USA",22,22,sawdust,689.7939189,yes,1,689.7939189,first year,exotic grass (more invaded),exotic graminoid ,unknown,graminoid,0,0,1,10,10,253,40,,466,95,,,,,,,,,,,,,
Alpert_2000,more invaded,1,2,7,"coastal CA, USA",22,22,sawdust,689.7939189,yes,1,689.7939189,first year,native forb (more invaded),native forb ,unknown,forb,0,0,1,10,10,44,12,,23,6,,,,,,,,,,,,,
Alpert_2000,more invaded,1,2,8,"coastal CA, USA",22,22,sawdust,689.7939189,yes,1,689.7939189,first year,exotic forb (more invaded),exotic forb ,unknown,graminoid,0,0,1,10,10,102,26,,106,17,,,,,,,,,,,,,
Averett_2004,,2,3,9,"Midwest, USA",26,26,sawdust,3000,no,1,3000,first year,prarie grass,native perennial graminoid ,perennial,graminoid,0,3230,4,8,8,187.8940569,21.87389142,,164.9648074,28.65800397,,,,,,,,,,,,,
Averett_2004,,2,3,10,"Midwest, USA",26,26,sawdust,3000,no,1,3000,first year,prairie forb,native perennial forb,perennial,forb,0,3230,4,8,8,52.16645252,7.250865332,,55.39598141,7.699753036,,,,,,,,,,,,,
