authors,year,journal,title,paper ID,meta-analysis,review
"Alpert P, Maron JL",2000,Biological Invasions,Carbon addition as a countermeasure against biological invasion by plants,1,included,included
"Averett JM, et al.",2004,Restoration Ecology,Effects of soil carbon amendment on nitrogen availability and plant growth in an experimental tallgrass prairie restoration,2,included,included
"Baer SG, Blair JM, Collins SL, Knapp AK",2004,Oecologia,Plant community responses to resource availability and heterogenity during restoration,3,included,included
"Beckstead J, Augspurger CK",2004,Biological Invasions,An experimental test of resistance to cheatgrass invasion: limiting resources at different life stages,4,included,included
"Belnap J, Sharpe S",1995,not peer-reviewed; technical report; Proceedings: wildland shrub and arid land restoration symposium,"Reestablishing cold-desert grasslands: a seeding experiment in Canyonlands National Park, Utah",5,included,included
"Blumenthal DM, Jordan NR, Russelle MP",2003,Ecological Applications,Soil carbon addition controls weeds and facilitates prairie restoration,6,included,included
"Brown SL, Ried N, Ried J, Smith R, Whalley RDB, Carr D",2017,The Rangeland Journal,Topsoil removal and carbon addition for weed control and native grass recruitment in a temperate-derived grassland in northern New South Wales,7,included,included
"Brunson JL, Pyke DA, Perakis SS",2010,Restoration Ecology,Yield responses of ruderal plants to sucrose in invasive-dominated sagebrush steppe of the northern Great Basin,8,included,included
"Burke IC, Bonttit EE, Barrett JE, Lowe PN, Lauenroth WK, Riggle R",2013,Ecological Applications,Impact of labile and recalcitrant carbon treatments on available nitrogen and plant communities in a semiarid ecosystem,10,included,included
"Cherwin KL, Seastedt TR, Suding KN",2009,Restoration Ecology,"Effects of nutrient manipulations and grass removal on cover, species composition, and invasibility of a novel grassland in Colorado",11,included,included
"Cione NK, Padgett PE, Allen EB",2002,Restoration Ecology,"Shrubland impacted by exotic grasses, frequent fire, and nitrogen deposition in southern California",12,included,included
"Concilio AL, Nipert JB, Ehrefeucht S, Cherwin K, Seastedt TR",2016,Oecologia,Imposing antecedent global change conditions rapidly alters plant community composition in a mixed?grass prairie,13,included,included
"Corbin JD, D'Antonio CM",2004,Restoration Ecology,Can carbon addition increase competitiveness of native grasses? A case study from California,14,included,included
Davis KJ,2001,not peer-reviewed; Oregon State University doctoral dissertation,The effects of nitrogen manipulations and hydrology on the establishment and competitive abilities of wetland prairie plant species (western Oregon),15,included,included
DeCorte A,2011,not peer-reviewed; University of Nevada master's thesis,"Relationships of exotic plant invasions with biological soil crust, desert pavement, and soil carbon in the eastern Mojave Desert",16,included,included
"Desserud P, Naeth MA",2013,Journal of Environmental Management,Establishment of a native bunch grass and an invasive perennial on disturbed land using straw-amended soil,17,included,included
